Domain Code,Domain,Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Element Code,Element,Item Code,Item,Unit,Value,Flag,Flag Description
TM,Detailed trade matrix,231,United States of America,58,Ecuador,5910,Export Quantity,15,Wheat,tonnes,194960.15,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,203,Spain,5910,Export Quantity,15,Wheat,tonnes,187762.15,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,109,Jamaica,5910,Export Quantity,15,Wheat,tonnes,173749.04,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,48,Costa Rica,5910,Export Quantity,15,Wheat,tonnes,167161.67,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,63,Estonia,5910,Export Quantity,15,Wheat,tonnes,164138.5,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,223,Turkey,5910,Export Quantity,15,Wheat,tonnes,161325.78,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,222,Tunisia,5910,Export Quantity,15,Wheat,tonnes,150108.1,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,57,Belarus,5910,Export Quantity,15,Wheat,tonnes,149993,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,131,Malaysia,5910,Export Quantity,15,Wheat,tonnes,147552.89,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,15,Belgium-Luxembourg,5910,Export Quantity,15,Wheat,tonnes,145863.43,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,121,Lebanon,5910,Export Quantity,15,Wheat,tonnes,128980,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,220,Trinidad and Tobago,5910,Export Quantity,15,Wheat,tonnes,126039.67,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,146,Republic of Moldova,5910,Export Quantity,15,Wheat,tonnes,119102,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,166,Panama,5910,Export Quantity,15,Wheat,tonnes,114932.78,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,237,Viet Nam,5910,Export Quantity,15,Wheat,tonnes,113082.18,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,1,Armenia,5910,Export Quantity,15,Wheat,tonnes,104884.56,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,93,Haiti,5910,Export Quantity,15,Wheat,tonnes,97982.28,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,198,Slovenia,5910,Export Quantity,15,Wheat,tonnes,87438,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,173,Poland,5910,Export Quantity,15,Wheat,tonnes,86652.33,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,255,Belgium,5910,Export Quantity,15,Wheat,tonnes,84127.7,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,81,Ghana,5910,Export Quantity,15,Wheat,tonnes,80430,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,73,Georgia,5910,Export Quantity,15,Wheat,tonnes,78472.79,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,157,Nicaragua,5910,Export Quantity,15,Wheat,tonnes,78034.07,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,100,India,5910,Export Quantity,15,Wheat,tonnes,76587.89,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,178,Eritrea,5910,Export Quantity,15,Wheat,tonnes,76493,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,229,United Kingdom of Great Britain and Northern Ireland,5910,Export Quantity,15,Wheat,tonnes,74420.11,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,144,Mozambique,5910,Export Quantity,15,Wheat,tonnes,72663.04,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,194,Saudi Arabia,5910,Export Quantity,15,Wheat,tonnes,71322.22,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,221,Oman,5910,Export Quantity,15,Wheat,tonnes,67057.8,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,124,Libya,5910,Export Quantity,15,Wheat,tonnes,64008.88,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,206,Sudan (former),5910,Export Quantity,15,Wheat,tonnes,63709.71,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,72,Djibouti,5910,Export Quantity,15,Wheat,tonnes,63598.05,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,213,Turkmenistan,5910,Export Quantity,15,Wheat,tonnes,61873.5,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,114,Kenya,5910,Export Quantity,15,Wheat,tonnes,61255.73,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,200,Singapore,5910,Export Quantity,15,Wheat,tonnes,55584.85,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,113,Kyrgyzstan,5910,Export Quantity,15,Wheat,tonnes,52679.86,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,276,Sudan,5910,Export Quantity,15,Wheat,tonnes,52266,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,230,Ukraine,5910,Export Quantity,15,Wheat,tonnes,51179,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,250,Democratic Republic of the Congo,5910,Export Quantity,15,Wheat,tonnes,49040.38,A,"Aggregate, may include official, semi-official, estimated or calculated data"
